t,commutator_norm
4.710000000000000142e+01,2.119713815926427269e-02
4.720000000000000284e+01,2.103597425463788265e-02
4.730000000000000426e+01,2.066462584882779868e-02
4.740000000000000568e+01,2.008680333235340898e-02
4.750000000000000000e+01,1.930828011679647932e-02
4.760000000000000142e+01,1.833683494878132758e-02
4.770000000000000284e+01,1.718217418730978024e-02
4.780000000000000426e+01,1.585583482103031239e-02
4.790000000000000568e+01,1.437106919446108806e-02
4.800000000000000000e+01,1.274271259494501145e-02
4.810000000000000142e+01,1.098703502336070663e-02
4.820000000000000284e+01,9.121578629654014669e-03
4.830000000000000426e+01,7.164982437472811744e-03
4.840000000000000568e+01,5.136796109204609662e-03
4.850000000000000000e+01,3.057284612212487259e-03
4.860000000000000142e+01,9.472257379789828262e-04
4.870000000000000284e+01,1.172297502717314704e-03
4.880000000000000426e+01,3.280107534276400887e-03
4.890000000000000568e+01,5.355143815612486112e-03
4.900000000000000000e+01,7.376673270118045377e-03
4.910000000000000142e+01,9.324497443712595479e-03
4.920000000000000284e+01,1.117915432111865615e-02
4.930000000000000426e+01,1.292211278388528603e-02
4.940000000000000568e+01,1.453595776719781608e-02
4.950000000000000000e+01,1.600456426544932809e-02
4.960000000000000142e+01,1.731325844796599220e-02
4.970000000000000284e+01,1.844896427507301470e-02
4.980000000000000426e+01,1.940033414956023744e-02
4.990000000000000568e+01,2.015786229812300059e-02
5.000000000000000000e+01,2.071397974990618965e-02
5.010000000000000142e+01,2.106312996315970118e-02
5.020000000000000284e+01,2.120182434436640451e-02
5.030000000000000426e+01,2.112867710511551894e-02
5.040000000000000568e+01,2.084441910844243850e-02
5.050000000000000000e+01,2.035189056628673027e-02
5.060000000000000142e+01,1.965601266103307945e-02
5.070000000000000284e+01,1.876373837468444522e-02
5.080000000000000426e+01,1.768398301696330610e-02
5.090000000000000568e+01,1.642753514648402635e-02
5.100000000000000000e+01,1.500694877504257438e-02
5.110000000000000142e+01,1.343641793207844479e-02
5.120000000000000284e+01,1.173163484262603785e-02
5.130000000000000426e+01,9.909633135789432806e-03
5.140000000000000568e+01,7.988617650348889265e-03
5.150000000000000000e+01,5.987782538032184430e-03
5.160000000000000142e+01,3.927119481893132785e-03
5.170000000000000284e+01,1.827217946024037006e-03
5.180000000000000426e+01,2.909405475638338501e-04
5.190000000000000568e+01,2.406192059372475826e-03
5.200000000000000000e+01,4.497401695505099523e-03
5.210000000000000142e+01,6.543674780539842153e-03
5.220000000000000284e+01,8.524565630218522774e-03
5.230000000000000426e+01,1.042028183796689725e-02
5.240000000000000568e+01,1.221188203407754143e-02
5.250000000000000000e+01,1.388146514161519955e-02
5.260000000000000142e+01,1.541234923806009995e-02
5.270000000000000284e+01,1.678923823556360134e-02
5.280000000000000426e+01,1.799837471440166384e-02
5.290000000000000568e+01,1.902767738256524663e-02
5.300000000000000000e+01,1.986686178803599365e-02
5.310000000000000142e+01,2.050754307763201154e-02
5.320000000000000284e+01,2.094331977568890391e-02
5.330000000000000426e+01,2.116983774548822361e-02
5.340000000000000568e+01,2.118483369435247843e-02
5.350000000000000000e+01,2.098815778771789820e-02
5.360000000000000142e+01,2.058177514623093368e-02
5.370000000000000284e+01,1.996974621091317237e-02
5.380000000000000426e+01,1.915818617257638440e-02
5.390000000000000568e+01,1.815520387085760301e-02
5.400000000000000000e+01,1.697082077337379660e-02
5.410000000000000142e+01,1.561687084452987977e-02
5.420000000000000284e+01,1.410688230445851857e-02
5.430000000000000426e+01,1.245594245951636703e-02
5.440000000000000568e+01,1.068054695490586528e-02
5.450000000000000000e+01,8.798434955641544139e-03
5.460000000000000142e+01,6.828411902676200657e-03
5.470000000000000284e+01,4.790161615152258370e-03
5.480000000000000426e+01,2.704049616186452593e-03
5.490000000000000568e+01,5.909196472958935060e-04
5.500000000000000000e+01,1.528114595378346138e-03
5.510000000000000142e+01,3.631880422143277456e-03
5.520000000000000284e+01,5.699357700270073213e-03
5.530000000000000426e+01,7.709888880213123553e-03
5.540000000000000568e+01,9.643385399015337242e-03
5.550000000000000000e+01,1.148052839858999807e-02
5.560000000000000142e+01,1.320296175336411158e-02
5.570000000000000284e+01,1.479347547861757130e-02
5.580000000000000426e+01,1.623617768696145741e-02
5.590000000000000568e+01,1.751665337482411627e-02
5.600000000000000000e+01,1.862210845240117041e-02
5.610000000000000142e+01,1.954149757797252543e-02
5.620000000000000284e+01,2.026563451930511045e-02
5.630000000000000426e+01,2.078728393944887648e-02
5.640000000000000568e+01,2.110123368983220921e-02
5.650000000000000000e+01,2.120434688832719891e-02
5.660000000000000142e+01,2.109559326193915715e-02
5.670000000000000284e+01,2.077605944095400892e-02
5.680000000000000426e+01,2.024893810168669830e-02
5.690000000000000568e+01,1.951949606631668208e-02
5.700000000000000000e+01,1.859502167853942234e-02
5.710000000000000142e+01,1.748475198084733020e-02
5.720000000000000284e+01,1.619978042105286314e-02
5.730000000000000426e+01,1.475294601022681187e-02
5.740000000000000568e+01,1.315870503954226847e-02
5.750000000000000000e+01,1.143298663779224351e-02
5.760000000000000142e+01,9.593033612800189874e-03
5.770000000000000284e+01,7.657230166984275478e-03
5.780000000000000426e+01,5.644918208483653589e-03
5.790000000000000568e+01,3.576204093205892151e-03
